iter	MultiClass
0	5.449238945
1	4.743987076
2	4.162096707
3	3.627046137
4	3.205705995
5	2.804232519
6	2.474504211
7	2.268122852
8	1.959631245
9	1.730784295
10	1.55099603
11	1.391621331
12	1.268755974
13	1.148110788
14	1.047563362
15	0.9527806554
16	0.8752258612
17	0.8029994449
18	0.7473362711
19	0.6891937111
20	0.6351701001
21	0.5917053914
22	0.5521431161
23	0.5111224308
24	0.4785858571
25	0.4461317301
26	0.4218389132
27	0.3952102908
28	0.3721789953
29	0.3503750918
30	0.3285831406
31	0.3095580998
32	0.2922251374
33	0.2764854408
34	0.2627101214
35	0.2481974508
36	0.2346870432
37	0.2232771063
38	0.2129836167
39	0.2022266987
40	0.1924556475
41	0.1842409033
42	0.1765327275
43	0.1689030613
44	0.1621794248
45	0.1561531034
46	0.1508025999
47	0.1453194107
48	0.1397827034
49	0.1337950249
50	0.1280809912
51	0.1243458234
52	0.1196818288
53	0.1181839675
54	0.1142015125
55	0.1101426787
56	0.1066675082
57	0.1029295936
58	0.09950123022
59	0.09625602776
60	0.09352114607
61	0.09087273197
62	0.08865669946
63	0.08596487919
64	0.08393365844
65	0.08189891675
66	0.07969028668
67	0.07739572578
68	0.07530697426
69	0.07336355009
70	0.07122382957
71	0.06990905563
72	0.06831107303
73	0.06637868913
74	0.0647641836
75	0.06328632703
76	0.06182864622
77	0.06024857103
78	0.05894020757
79	0.05748988303
80	0.05630943142
81	0.05513045379
82	0.05402035015
83	0.05302570972
84	0.05168681308
85	0.05078493356
86	0.04962730374
87	0.04861979065
88	0.04778496796
89	0.04696190593
90	0.04609782051
91	0.04526406238
92	0.04458615357
93	0.04386218749
94	0.04319654579
95	0.04235746706
96	0.04156924956
97	0.04104929724
98	0.04026973606
99	0.03971241749
