iter	Passed	Remaining
0	16726	1655922
1	35601	1744483
2	60262	1948482
3	86461	2075065
4	115550	2195451
5	135673	2125554
6	162653	2160965
7	190295	2188402
8	220652	2231044
9	247744	2229701
10	276281	2235367
11	302923	2221440
12	324928	2174518
13	347615	2135354
14	373791	2118154
15	418056	2194798
16	461217	2251827
17	504922	2300200
18	547300	2333226
19	590717	2362869
20	631682	2376330
21	673201	2386804
22	708373	2371512
23	744294	2356933
24	783082	2349246
25	833551	2372416
26	860544	2326656
27	881596	2266962
28	903667	2212428
29	928014	2165367
30	951195	2117177
31	973686	2069083
32	1009083	2048746
33	1026142	1991924
34	1041850	1934865
35	1057520	1880035
36	1073107	1827182
37	1090601	1779402
38	1112108	1739451
39	1127849	1691773
40	1144689	1647236
41	1166538	1610934
42	1195911	1585277
43	1215898	1547507
44	1239596	1515062
45	1259466	1478503
46	1279688	1443052
47	1295062	1402984
48	1310460	1363948
49	1330331	1330331
50	1352807	1299756
51	1373902	1268217
52	1395110	1237173
53	1416563	1206702
54	1438904	1177285
55	1460417	1147470
56	1480408	1116799
57	1505936	1090505
58	1528907	1062460
59	1547566	1031711
60	1569725	1003594
61	1592216	975874
62	1613632	947688
63	1630168	916969
64	1645243	885900
65	1659655	854974
66	1683799	829334
67	1706872	803233
68	1728936	776768
69	1748220	749237
70	1767357	721878
71	1783515	693589
72	1800743	666028
73	1814405	637493
74	1830003	610001
75	1843221	582069
76	1856935	554668
77	1870656	527621
78	1883929	500791
79	1897544	474386
80	1910893	448234
81	1924265	422399
82	1938033	396946
83	1951253	371667
84	1964885	346744
85	1978002	322000
86	1991874	297636
87	2005888	273530
88	2019695	249625
89	2033130	225903
90	2046593	202410
91	2060007	179131
92	2074563	156149
93	2089225	133354
94	2102737	110670
95	2116646	88193
96	2130156	65881
97	2143215	43739
98	2157075	21788
99	2170128	0
